(-0.137819,-1.98063)
(-0.12941,-1.98296)
(-0.120961,-1.98515)
(-0.112476,-1.98719)
(-0.103956,-1.98907)
(-0.0954045,-1.99081)
(-0.0868241,-1.9924)
(-0.0782172,-1.99384)
(-0.0695866,-1.99513)
(-0.0609347,-1.99627)
(-0.0522642,-1.99726)
(-0.0435779,-1.9981)
(-0.0348782,-1.99878)
(-0.026168,-1.99931)
(-0.0174497,-1.9997)
(-0.0087262,-1.99992)
(-9.18485e-17,-2)
(0.0087262,-1.99992)
(0.0174497,-1.9997)
(0.026168,-1.99931)
(0.0348782,-1.99878)
(0.0435779,-1.9981)
(0.0522642,-1.99726)
(0.0609347,-1.99627)
(0.0695866,-1.99513)
(0.0782172,-1.99384)
(0.0868241,-1.9924)
(0.0954045,-1.99081)
(0.103956,-1.98907)
(0.112476,-1.98719)
(0.120961,-1.98515)
(0.12941,-1.98296)
(0.137819,-1.98063)
(0.146186,-1.97815)
(0.154508,-1.97553)
(0.162784,-1.97276)
(0.17101,-1.96985)
(0.179184,-1.96679)
(0.187303,-1.96359)
(0.195366,-1.96025)
(0.203368,-1.95677)
(0.211309,-1.95315)
(0.219186,-1.9494)
(0.226995,-1.9455)
(0.234736,-1.94147)
(0.242405,-1.93731)
(0.25,-1.93301)
(0.257519,-1.92858)
(0.26496,-1.92402)
(0.27232,-1.91934)
(0.279596,-1.91452)
(0.286788,-1.90958)
(0.293893,-1.90451)
(0.300908,-1.89932)
(0.307831,-1.89401)
(0.31466,-1.88857)
(0.321394,-1.88302)
(0.32803,-1.87735)
(0.334565,-1.87157)
(0.340999,-1.86568)
(0.347329,-1.85967)
(0.353553,-1.85355)
(0.35967,-1.84733)
(0.365677,-1.841)
(0.371572,-1.83457)
(0.377355,-1.82803)
(0.383022,-1.82139)
(0.388573,-1.81466)
(0.394005,-1.80783)
(0.399318,-1.80091)
(0.404508,-1.79389)
(0.409576,-1.78679)
(0.414519,-1.7796)
(0.419335,-1.77232)
(0.424024,-1.76496)
(0.428584,-1.75752)
(0.433013,-1.75)
(0.43731,-1.7424)
(0.441474,-1.73474)
(0.445503,-1.727)
(0.449397,-1.71919)
(0.453154,-1.71131)
(0.456773,-1.70337)
(0.460252,-1.69537)
(0.463592,-1.6873)
(0.46679,-1.67918)
(0.469846,-1.67101)
(0.472759,-1.66278)
(0.475528,-1.65451)
(0.478152,-1.64619)
(0.480631,-1.63782)
(0.482963,-1.62941)
(0.485148,-1.62096)
(0.487185,-1.61248)
(0.489074,-1.60396)
(0.490814,-1.5954)
(0.492404,-1.58682)
(0.493844,-1.57822)
(0.495134,-1.56959)
(0.496273,-1.56093)
(0.497261,-1.55226)
(0.498097,-1.54358)
(0.498782,-1.53488)
(0.499315,-1.52617)
(0.499695,-1.51745)
(0.499924,-1.50873)
