(-5.60001,-8.35528,0.0150171,-5.58001,-8.35498,0.0350171,-5.56002,-8.35428,0.0550171,-5.54005,-8.35318,0.0750171,-5.52011,-8.35168,0.0950171,-5.5002,-8.34979,0.115017,-5.48033,-8.34749,0.135017,-5.46051,-8.3448,0.155017,-5.44075,-8.34171,0.175017,-5.42106,-8.33823,0.195017,-5.40144,-8.33435,0.215017,-5.3819,-8.33009,0.235017,-5.36245,-8.32543,0.255017,-5.3431,-8.32038,0.275017,-5.32385,-8.31495,0.295017,-5.30471,-8.30914,0.315017,-5.2857,-8.30294,0.335017,-5.26681,-8.29637,0.355017,-5.24805,-8.28941,0.375017,-5.22944,-8.28209,0.395017,-5.21098,-8.27439,0.415017,-5.19268,-8.26633,0.435017,-5.17455,-8.2579,0.455017,-5.15658,-8.24911,0.475017,-5.13879,-8.23996,0.495017,)
(-5.1212,-8.23046,0.510574,-5.10375,-8.22069,0.526131,-5.08645,-8.21064,0.541687,-5.06931,-8.20033,0.557244,-5.05234,-8.18975,0.572801,-5.03553,-8.17891,0.588358,-5.0189,-8.16781,0.603915,-5.00243,-8.15646,0.619471,-4.98615,-8.14485,0.635028,-4.97005,-8.13298,0.650585,-4.95413,-8.12087,0.666142,-4.93841,-8.10851,0.681699,-4.92288,-8.09591,0.697255,-4.90755,-8.08306,0.712812,-4.89242,-8.06999,0.728369,-4.87749,-8.05667,0.743926,-4.86277,-8.04313,0.759483,-4.84827,-8.02936,0.775039,-4.83398,-8.01536,0.790596,-4.81991,-8.00115,0.806153,-4.80607,-7.98671,0.82171,-4.79245,-7.97207,0.837266,-4.77906,-7.95721,0.852823,-4.7659,-7.94215,0.86838,-4.75298,-7.92688,0.883937,)
(-7.88644,-7.42931,-1.6926,-7.88401,-7.40946,-1.6926,-7.88158,-7.38961,-1.6926,-7.87915,-7.36975,-1.6926,-7.87672,-7.3499,-1.6926,-7.87429,-7.33005,-1.6926,-7.87186,-7.3102,-1.6926,-7.86943,-7.29035,-1.6926,-7.867,-7.27049,-1.6926,-7.86457,-7.25064,-1.6926,-7.86214,-7.23079,-1.6926,-7.85971,-7.21094,-1.6926,-7.85728,-7.19109,-1.6926,-7.85485,-7.17124,-1.6926,-7.85242,-7.15138,-1.6926,-7.84999,-7.13153,-1.6926,-7.84756,-7.11168,-1.6926,-7.84513,-7.09183,-1.6926,-7.8427,-7.07198,-1.6926,-7.84027,-7.05212,-1.6926,-7.83784,-7.03227,-1.6926,-7.83541,-7.01242,-1.6926,-7.83298,-6.99257,-1.6926,-7.83055,-6.97272,-1.6926,-7.82812,-6.95287,-1.6926,)
(-4.7403,-7.91142,0.863937,-4.72731,-7.89621,0.843937,-4.71402,-7.88127,0.823937,-4.70043,-7.86659,0.803937,-4.68656,-7.85219,0.783937,-4.67239,-7.83807,0.763937,-4.65795,-7.82423,0.743937,-4.64323,-7.81069,0.723937,-4.62825,-7.79744,0.703937,-4.613,-7.7845,0.683937,-4.5975,-7.77186,0.663937,-4.58175,-7.75953,0.643937,-4.56576,-7.74753,0.623937,-4.54952,-7.73584,0.603937,-4.53306,-7.72448,0.583937,-4.51638,-7.71346,0.563937,-4.49947,-7.70277,0.543937,-4.48236,-7.69242,0.523937,-4.46504,-7.68241,0.503937,-4.44753,-7.67275,0.483937,-4.42983,-7.66345,0.463937,-4.41194,-7.6545,0.443937,-4.39388,-7.64591,0.423937,-4.37565,-7.63768,0.403937,-4.35726,-7.62982,0.383937,)
(-4.33871,-7.62233,0.403937,-4.32032,-7.61447,0.423937,-4.30209,-7.60624,0.443937,-4.28403,-7.59765,0.463937,-4.26615,-7.5887,0.483937,-4.24844,-7.5794,0.503937,-4.23093,-7.56974,0.523937,-4.21361,-7.55973,0.543937,-4.1965,-7.54938,0.563937,-4.1796,-7.53869,0.583937,-4.16291,-7.52767,0.603937,-4.14645,-7.51631,0.623937,-4.13022,-7.50462,0.643937,-4.11422,-7.49262,0.663937,-4.09847,-7.48029,0.683937,-4.08297,-7.46766,0.703937,-4.06772,-7.45471,0.723937,-4.05274,-7.44147,0.743937,-4.03802,-7.42792,0.763937,-4.02358,-7.41409,0.783937,-4.00942,-7.39996,0.803937,-3.99554,-7.38556,0.823937,-3.98195,-7.37089,0.843937,-3.96866,-7.35594,0.863937,-3.95567,-7.34073,0.883937,)
(-3.94299,-7.32527,0.895361,-3.93049,-7.30966,0.906784,-3.91816,-7.29391,0.918208,-3.90602,-7.27802,0.929632,-3.89405,-7.26199,0.941056,-3.88227,-7.24583,0.952479,-3.87068,-7.22953,0.963903,-3.85927,-7.2131,0.975327,-3.84806,-7.19654,0.986751,-3.83703,-7.17986,0.998174,-3.82619,-7.16305,1.0096,-3.81555,-7.14612,1.02102,-3.8051,-7.12906,1.03245,-3.79484,-7.11189,1.04387,-3.78479,-7.09461,1.05529,-3.77493,-7.0772,1.06672,-3.76527,-7.05969,1.07814,-3.75581,-7.04207,1.08956,-3.74655,-7.02434,1.10099,-3.73749,-7.00651,1.11241,-3.72864,-6.98857,1.12384,-3.72,-6.97054,1.13526,-3.71156,-6.95241,1.14668,-3.70333,-6.93418,1.15811,-3.69531,-6.91586,1.16953,)
(-7.82569,-6.93301,-1.7126,-7.82286,-6.91321,-1.7326,-7.81964,-6.89348,-1.7526,-7.81602,-6.87381,-1.7726,-7.81201,-6.85421,-1.7926,-7.80761,-6.8347,-1.8126,-7.80282,-6.81528,-1.8326,-7.79765,-6.79596,-1.8526,-7.79209,-6.77675,-1.8726,-7.78614,-6.75766,-1.8926,-7.77982,-6.73868,-1.9126,-7.77311,-6.71984,-1.9326,-7.76603,-6.70114,-1.9526,-7.75858,-6.68258,-1.9726,-7.75076,-6.66417,-1.9926,-7.74257,-6.64592,-2.0126,-7.73402,-6.62784,-2.0326,-7.72511,-6.60994,-2.0526,-7.71584,-6.59221,-2.0726,-7.70622,-6.57468,-2.0926,-7.69625,-6.55734,-2.1126,-7.68594,-6.54021,-2.1326,-7.67528,-6.52328,-2.1526,-7.66429,-6.50657,-2.1726,-7.65297,-6.49008,-2.1926,)
(-3.6875,-6.89745,1.14953,-3.67932,-6.87919,1.12953,-3.67078,-6.86111,1.10953,-3.66188,-6.8432,1.08953,-3.65262,-6.82547,1.06953,-3.64301,-6.80793,1.04953,-3.63305,-6.79059,1.02953,-3.62274,-6.77345,1.00953,-3.6121,-6.75652,0.989531,-3.60112,-6.7398,0.969531,-3.5898,-6.72331,0.949531,-3.57816,-6.70704,0.929531,-3.5662,-6.69102,0.909531,-3.55392,-6.67523,0.889531,-3.54132,-6.6597,0.869531,-3.52842,-6.64442,0.849531,-3.51521,-6.6294,0.829531,-3.50171,-6.61465,0.809531,-3.48791,-6.60017,0.789531,-3.47383,-6.58597,0.769531,-3.45946,-6.57205,0.749531,-3.44482,-6.55842,0.729531,-3.42991,-6.54509,0.709531,-3.41474,-6.53206,0.689531,-3.39931,-6.51934,0.669531,)
(-3.38362,-6.50693,0.689531,-3.36819,-6.49421,0.709531,-3.35302,-6.48118,0.729531,-3.33811,-6.46785,0.749531,-3.32347,-6.45422,0.769531,-3.30911,-6.4403,0.789531,-3.29502,-6.4261,0.809531,-3.28123,-6.41162,0.829531,-3.26772,-6.39687,0.849531,-3.25451,-6.38185,0.869531,-3.24161,-6.36657,0.889531,-3.22901,-6.35104,0.909531,-3.21673,-6.33525,0.929531,-3.20477,-6.31922,0.949531,-3.19313,-6.30296,0.969531,-3.18181,-6.28647,0.989531,-3.17083,-6.26975,1.00953,-3.16019,-6.25282,1.02953,-3.14988,-6.23568,1.04953,-3.13992,-6.21834,1.06953,-3.13031,-6.2008,1.08953,-3.12105,-6.18307,1.10953,-3.11215,-6.16516,1.12953,-3.10361,-6.14708,1.14953,-3.09543,-6.12882,1.16953,)
(-3.08762,-6.11041,1.14953,-3.07944,-6.09216,1.12953,-3.0709,-6.07408,1.10953,-3.062,-6.05617,1.08953,-3.05274,-6.03844,1.06953,-3.04313,-6.0209,1.04953,-3.03317,-6.00356,1.02953,-3.02287,-5.98641,1.00953,-3.01222,-5.96948,0.989531,-3.00124,-5.95277,0.969531,-2.98993,-5.93628,0.949531,-2.97828,-5.92001,0.929531,-2.96632,-5.90399,0.909531,-2.95404,-5.8882,0.889531,-2.94144,-5.87267,0.869531,-2.92854,-5.85739,0.849531,-2.91533,-5.84237,0.829531,-2.90183,-5.82761,0.809531,-2.88803,-5.81313,0.789531,-2.87395,-5.79893,0.769531,-2.85958,-5.78502,0.749531,-2.84494,-5.77139,0.729531,-2.83003,-5.75806,0.709531,-2.81486,-5.74503,0.689531,-2.79943,-5.73231,0.669531,)
(-2.78375,-5.7199,0.685088,-2.76826,-5.70724,0.700645,-2.75297,-5.69435,0.716201,-2.73788,-5.68122,0.731758,-2.723,-5.66785,0.747315,-2.70833,-5.65426,0.762872,-2.69388,-5.64044,0.778428,-2.67964,-5.6264,0.793985,-2.66562,-5.61213,0.809542,-2.65182,-5.59765,0.825099,-2.63825,-5.58296,0.840656,-2.62491,-5.56806,0.856212,-2.6118,-5.55295,0.871769,-2.59893,-5.53764,0.887326,-2.58631,-5.52214,0.902883,-2.57392,-5.50643,0.91844,-2.56178,-5.49054,0.933996,-2.54988,-5.47446,0.949553,-2.53824,-5.4582,0.96511,-2.52686,-5.44175,0.980667,-2.51573,-5.42514,0.996224,-2.50486,-5.40835,1.01178,-2.49425,-5.39139,1.02734,-2.48391,-5.37427,1.04289,-2.47383,-5.357,1.05845,)
(-7.64132,-6.47383,-2.1726,-7.63,-6.45734,-2.1526,-7.61901,-6.44063,-2.1326,-7.60835,-6.42371,-2.1126,-7.59804,-6.40657,-2.0926,-7.58807,-6.38923,-2.0726,-7.57845,-6.3717,-2.0526,-7.56918,-6.35397,-2.0326,-7.56027,-6.33607,-2.0126,-7.55172,-6.31799,-1.9926,-7.54353,-6.29974,-1.9726,-7.53571,-6.28133,-1.9526,-7.52826,-6.26277,-1.9326,-7.52118,-6.24407,-1.9126,-7.51448,-6.22523,-1.8926,-7.50815,-6.20625,-1.8726,-7.50221,-6.18716,-1.8526,-7.49664,-6.16795,-1.8326,-7.49147,-6.14863,-1.8126,-7.48668,-6.12921,-1.7926,-7.48228,-6.1097,-1.7726,-7.47827,-6.09011,-1.7526,-7.47465,-6.07043,-1.7326,-7.47143,-6.0507,-1.7126,-7.46861,-6.0309,-1.6926,)
